tarih,rota,saat_araligi,fiyat,tedarikçi,araç
2025-03-31 00:27:42,istanbul_to_fatih,4 saat,€46.52,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:27:42,istanbul_to_fatih,4 saat,€47.61,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:27:42,istanbul_to_fatih,4 saat,€47.76,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:27:42,istanbul_to_fatih,4 saat,€50.85,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:27:42,istanbul_to_fatih,4 saat,€50.85,Bodrum Luxury Travel,Electric Standard (Electric Standard Vehicle)
2025-03-31 00:27:42,istanbul_to_fatih,4 saat,€110.7,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:27:42,istanbul_to_fatih,4 saat,€114.38,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:27:46,istanbul_to_fatih,8 saat,€44.66,Bodrum Luxury Travel,Electric Standard (Electric Standard Vehicle)
2025-03-31 00:27:46,istanbul_to_fatih,8 saat,€46.09,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:27:46,istanbul_to_fatih,8 saat,€49.14,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:27:46,istanbul_to_fatih,8 saat,€49.77,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:27:46,istanbul_to_fatih,8 saat,€50.85,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:27:46,istanbul_to_fatih,8 saat,€107.12,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:27:49,istanbul_to_fatih,10 saat,€46.49,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:27:49,istanbul_to_fatih,10 saat,€46.99,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:27:49,istanbul_to_fatih,10 saat,€48.6,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:27:49,istanbul_to_fatih,10 saat,€48.68,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:27:49,istanbul_to_fatih,10 saat,€106.64,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:27:52,istanbul_to_fatih,12 saat,€42.88,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:27:52,istanbul_to_fatih,12 saat,€45.25,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:27:52,istanbul_to_fatih,12 saat,€48.36,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:27:52,istanbul_to_fatih,12 saat,€48.68,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:27:52,istanbul_to_fatih,12 saat,€54.98,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:27:52,istanbul_to_fatih,12 saat,€106.68,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:27:56,fatih_to_istanbul,4 saat,€45.44,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:27:56,fatih_to_istanbul,4 saat,€46.49,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:27:56,fatih_to_istanbul,4 saat,€47.61,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:27:56,fatih_to_istanbul,4 saat,€49.77,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:27:56,fatih_to_istanbul,4 saat,€50.82,Bodrum Luxury Travel,Electric Standard (Electric Standard Vehicle)
2025-03-31 00:27:56,fatih_to_istanbul,4 saat,€50.85,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:27:56,fatih_to_istanbul,4 saat,€114.37,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:27:59,fatih_to_istanbul,8 saat,€43.25,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
